# distance [deg], low_sys_1 [cm-2 s-1], low_sys_2, mid_sys_1, mid_sys_2, high_sys_1, high_sys_2
-1.277555110220440771e+00,-8.368571631252223884e-19,3.680367233871603787e-17,-6.596323321929959143e-21,3.978434577527342095e-19,-1.065624240801846757e-68,2.341194971229980858e-58
-1.271543086172344683e+00,-9.870218458381220404e-19,4.004288054079874821e-17,-7.830488005210294771e-21,4.449848997500865312e-19,-2.153653627322467759e-68,3.228358433654397003e-58
-1.265531062124248596e+00,-1.161411461732265051e-18,4.361621816153946132e-17,-9.261214515367616618e-21,4.975253738799031094e-19,-4.142805206696737094e-68,4.392011365272446369e-58
-1.259519038076152286e+00,-1.362028572643540384e-18,4.754802762046311050e-17,-1.091080111195747651e-20,5.558220977794047356e-19,-5.745440408187125629e-68,5.902169098425939973e-58
-1.253507014028056199e+00,-1.591795974682660861e-18,5.186118725720932272e-17,-1.280090047709076277e-20,6.201912530874206582e-19,-7.958808064113109837e-68,7.847697435780212946e-58
-1.247494989979959890e+00,-1.854159167685548469e-18,5.660229332065831466e-17,-1.495578128353587819e-20,6.914168090332727636e-19,-1.195955970673798204e-67,1.037004576174522617e-57
-1.241482965931863802e+00,-2.151671154895086089e-18,6.185142363435656509e-17,-1.739764520070974892e-20,7.707779816246734404e-19,-1.655731931541288987e-67,1.373756643129146268e-57
-1.235470941883767493e+00,-2.485155416211927654e-18,6.755154499762268242e-17,-2.014791300858086974e-20,8.573101324080374557e-19,-2.246402948734521760e-67,1.801090679109381444e-57
-1.229458917835671405e+00,-2.856556997184543179e-18,7.371855201591552485e-17,-2.321088490352069061e-20,9.512696311380143202e-19,-3.022660600400691582e-67,2.338070608714421237e-57
-1.223446893787575096e+00,-3.269005499849499849e-18,8.036957410270593802e-17,-2.661715285997593982e-20,1.052866210799266104e-18,-4.320596237202580658e-67,3.007850587843350678e-57
-1.217434869739479009e+00,-3.724641244809959006e-18,8.752158975849444926e-17,-3.042287311739647493e-20,1.162311211986201666e-18,-6.141994908418463354e-67,7.363834206002226669e-28
-1.211422845691382699e+00,-4.225087810187324676e-18,9.521793393421349142e-17,-3.464977821392821860e-20,1.280380025728314278e-18,-8.355592796926910899e-67,5.428700970494395478e-27
-1.205410821643286612e+00,-4.770896695083649363e-18,1.035550347367997091e-16,-3.932576641245082844e-20,1.408923970451493306e-18,-1.143147226319021512e-66,1.041877936612150276e-26
-1.199398797595190302e+00,-5.361402409957201616e-18,1.124554066785548211e-16,-4.447688439376924458e-20,1.546947362041287742e-18,-1.515776963486945078e-66,1.544386974291467752e-26
-1.193386773547094215e+00,-5.998154077742193199e-18,1.219409441764613294e-16,-5.012202871814129079e-20,1.695189524580204733e-18,-1.983564191561506037e-66,2.179923730594734452e-26
-1.187374749498998128e+00,-6.678283784853624276e-18,1.320339720657503115e-16,-5.626570363881707149e-20,1.854621452767105098e-18,-2.596021901537075721e-66,3.039845504430572600e-26
-1.181362725450901818e+00,-7.398861792598892329e-18,1.427627026158972088e-16,-6.290968747762587692e-20,2.026451330033299079e-18,-3.367804783277807757e-66,4.188509782053683845e-26
-1.175350701402805509e+00,-8.155120798977658161e-18,1.541800165913317762e-16,-6.999546522460079869e-20,2.212726282371130339e-18,-4.394347306756067828e-66,5.726226199526098575e-26
-1.169338677354709422e+00,-8.939700353975704303e-18,1.664299309542857148e-16,-7.749497800948933045e-20,2.418247662286968635e-18,-5.712844596500612701e-66,7.881475850971123271e-26
-1.163326653306613334e+00,-9.744321301960641432e-18,1.794233460398179501e-16,-8.531913516202196490e-20,2.642475272056954340e-18,-7.317435802350424376e-66,5.560890551954952941e-25
-1.157314629258517025e+00,-1.056044066149208308e-17,1.931998765055417885e-16,-9.334519927576587599e-20,2.887809840384247058e-18,-9.280867418466319365e-66,1.568598142277695230e-24
-1.151302605210420715e+00,-1.137978712398444601e-17,2.078015377352667836e-16,-1.014981628128436408e-19,3.156800110644678799e-18,-1.168100090994867354e-65,3.010444453736623867e-24
-1.145290581162324628e+00,-1.219325979659973975e-17,2.232752864558552865e-16,-1.109892826117476516e-19,3.452124783603068076e-18,-1.460638367795841179e-65,4.792729360009481618e-24
-1.139278557114228541e+00,-1.299015853439710252e-17,2.397101009335448838e-16,-1.207075807120413108e-19,3.777664134366329185e-18,-1.816911063844347906e-65,7.172502232474452746e-24
-1.133266533066132231e+00,-1.376152634753624472e-17,2.573371218087912811e-16,-1.306482122372970699e-19,4.143385255600761933e-18,-2.247601320563420885e-65,1.027674377148836264e-23
-1.127254509018036144e+00,-1.450365751843451075e-17,2.760392088684570193e-16,-1.408794821578238835e-19,4.545847898971468813e-18,-2.767839861476887179e-65,1.467816417664368784e-23
-1.121242484969939834e+00,-1.521502110212865844e-17,2.958849474321773232e-16,-1.515224725150907089e-19,4.987803554635292552e-18,-3.395090936195788546e-65,2.060586661660393198e-23
-1.115230460921843747e+00,-1.587529854128398984e-17,3.169454703445658449e-16,-1.626206165304580610e-19,5.471977770109298921e-18,-4.133248459581943549e-65,2.833957684404269026e-23
-1.109218436873747438e+00,-1.652951580732538584e-17,3.392911408508694438e-16,-1.747702371768243857e-19,6.001076577952386105e-18,-4.977003196675276147e-65,3.833469773513676689e-23
-1.103206412825651350e+00,-1.717344495341183421e-17,3.630637670027844118e-16,-1.882763565517122254e-19,6.579082849472714937e-18,-5.950243052135171362e-65,5.148599881141932393e-23
-1.097194388777555041e+00,-1.782121062389150559e-17,3.886126036304368318e-16,-2.038090832275908119e-19,7.217709591027754272e-18,-7.108809352201196048e-65,6.986065245501605003e-23
-1.091182364729458953e+00,-1.849250818957261394e-17,4.157555804601417596e-16,-2.220328743952774366e-19,7.909498108102344923e-18,-2.433571907621630987e-62,9.436081780743076600e-23
-1.085170340681362866e+00,-1.920570019892757775e-17,4.445841966971105365e-16,-2.437139936884414791e-19,8.657170410006926857e-18,-3.682647686282400018e-61,1.259443507806417307e-22
-1.079158316633266557e+00,-1.998238011056489233e-17,4.751866500735570868e-16,-2.696907146101025094e-19,9.463496513695480352e-18,-2.197022225913701618e-60,1.675718651890319581e-22
-1.073146292585170247e+00,-2.084385815342457386e-17,5.076527469234104945e-16,-3.008035579764507267e-19,1.033148302658185293e-17,-3.263374732833582268e-60,2.236492447768253973e-22
-1.067134268537074160e+00,-2.182918913127999326e-17,5.421043377111070483e-16,-3.384453769286447955e-19,1.126545269167887562e-17,-4.586435533005222773e-60,2.997276556641669799e-22
-1.061122244488978072e+00,-2.294982869850433300e-17,5.790486689314616298e-16,-3.834555164716501646e-19,1.228536963687461895e-17,-6.397726123945785838e-60,4.011810175512811208e-22
-1.055110220440881763e+00,-2.421329078252440687e-17,6.181979946374041606e-16,-4.369855467159824814e-19,1.338306272807103363e-17,-3.969536290875235329e-59,5.227465964623100824e-22
-1.049098196392785454e+00,-2.562738503518197542e-17,6.596526841193648808e-16,-5.011009400012577965e-19,1.456516585457669510e-17,-8.573162673304132123e-59,6.721284913080831581e-22
-1.043086172344689366e+00,-2.719236398023659618e-17,7.035167672387880693e-16,-5.797426043092333604e-19,1.583897332803273234e-17,-1.601503479085473800e-58,8.569799892963778600e-22
